Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
504,225973,226043,5.38,NA,779,399
505,226113,226203,5.53,NA,833,359
506,226233,226603,5.614736842,4.946,886,406
507,226652,226925,5.597142857,4.945,896,455
508,226951,227206,5.639230769,4.976666667,930,466
509,227528,228039,5.358076923,5.1425,679,374
510,228532,228702,5.251111111,4.955,724,344
511,228969,229083,5.261666667,NA,856,224
512,229153,230257,5.321071429,4.951428571,695,326
513,230386,230683,5.476,NA,877,203
514,231805,231900,5.32,4.31,804,342
515,232105,232378,5.33,4.676666667,1067,368
516,233324,233443,5.356,NA,670,269
517,233829,233941,5.391666667,4.973333333,993,557
518,234110,234242,5.467142857,5.493333333,1300,692
519,234487,234573,5.45,5.226666667,1169,652
520,235724,236040,5.5925,5.374375,867,723
521,236103,236355,5.657692308,5.218461538,882,645
522,236383,236453,5.68,5.2,883,591
523,236542,236621,5.7275,5.0775,884,528
524,236769,236839,5.4025,4.91,764,295
525,236888,236958,5.3625,NA,769,376
526,237007,237181,5.572222222,5,810,366
527,237286,237376,5.782,NA,1191,331
528,237744,237855,5.658333333,NA,1018,410
529,238024,238135,5.678,5.206,593,462
530,238185,238275,5.542,5.3,475,458
531,238304,238379,5.5425,NA,479,470
532,238422,238536,5.503333333,4.44,495,414
533,238647,238800,5.48,5.536,702,480
534,240685,240756,5.52,NA,927,370
535,240804,240895,5.546,NA,865,348
536,240965,241117,5.57625,NA,832,353
537,241404,241557,5.58875,4.59,1068,353
538,242224,242314,5.328,NA,762,453
539,242344,242475,5.278333333,NA,771,433
540,242524,242714,5.161,NA,786,453
541,242744,242833,5.2675,NA,764,428
542,242918,243053,5.327142857,NA,749,430
543,245278,245354,5.4225,4.55,934,353
544,246660,246793,5.06,NA,758,513
545,250897,251029,5.31,5.431428571,755,529
546,251316,251388,5.935,5.4,1089,682
547,252934,253063,5.705,5.632857143,1398,366
548,254176,254287,5.503333333,5.288333333,1565,121
549,254916,254986,5.325,5.065,1339,30
550,255133,255243,5.423333333,5.031666667,1222,99
551,255372,255470,5.518,5.218,1099,160
552,255532,255748,5.460909091,5.284545455,1035,178
